	Path	File	Name	Abbreviation	Positives	Negatives
0	./Neuropeptides	NP-OXT.md	Oxytocin/neurophysin i prepropeptide	NP-OXT	 ,OXT	 
1	./Neuropeptides	NP-NPS.md	Neuropeptide s	NP-NPS	 ,NPS	 
2	./Neuropeptides	NP-MLN.md	Motilin	NP-MLN	 ,MLN	 
3	./Neuropeptides	NP-CALCA.md	Calcitonin related polypeptide alpha	NP-CALCA	 ,CALCA	 
4	./Neuropeptides	NP-AGRP.md	Agouti related neuropeptide	NP-AGRP	 ,AGRP	 
5	./Neuropeptides	NP-GCG.md	Glucagon	NP-GLUC	 ,GCG	 
6	./Neuropeptides	NP-HCRT.md	Hypocretin neuropeptide precursor	NP-HCRT	 ,HCRT	 
7	./Neuropeptides	NP-NXPH1.md	Nxph1	NP-NXPH	 ,NXPH1	 
8	./Neuropeptides	NP-PRLH.md	Prolactin releasing hormone	NP-PRLH	 ,PRLH	 
9	./Neuropeptides	NP-TRH.md	Thyrotropin releasing hormone	NP-TRH	 ,TRH	 
10	./Neuropeptides	NP-CCK.md	Cholecystokinin	NP-CCK	 ,CCK	 
11	./Neuropeptides	NP-NPW.md	Neuropeptide w	NP-NPW	 ,NPW	 
12	./Neuropeptides	NP-AGT.md	Angiotensinogen	NP-AGT	 ,AGT	 
13	./Neuropeptides	NP-NMU.md	Neuromedin u	NP-NMU	 ,NMU	 
14	./Neuropeptides	NP-NPVF.md	Neuropeptide vf precursor	NP-NPVF	 ,NPVF	 
15	./Neuropeptides	NP-TAC3.md	Tachykinin precursor 3	NP-TAC	 ,TAC3	 
16	./Neuropeptides	NP-NPPC.md	Natriuretic peptide c	NP-NPPC	 ,NPPC	 
17	./Neuropeptides	NP-VIP.md	Vasoactive intestinal peptide	NP-VIP	 ,VIP	 
18	./Neuropeptides	NP-PENK.md	Proenkephalin	NP-PENK	 ,PENK	 
19	./Neuropeptides	NP-AVP.md	Arginine vasopressin	NP-AVP	 ,AVP	 
20	./Neuropeptides	NP-KNG1.md	Kininogen 1	NP-KNG	 ,KNG1	 
21	./Neuropeptides	NP-NAMPT.md	Nampt	NP-NAMPT	 ,NAMPT	 
22	./Neuropeptides	NP-NPPB.md	Natriuretic peptide b	NP-NPPB	 ,NPPB	 
23	./Neuropeptides	NP-NXPH4.md	Nxph4	NP-NXPH	 ,NXPH4	 
24	./Neuropeptides	NP-NPFF.md	Neuropeptide ff-amide peptide precursor	NP-NPFF	 ,NPFF	 
25	./Neuropeptides	NP-ADM.md	Adrenomedullin	NP-ADM	 ,ADM	 
26	./Neuropeptides	NP-NTS.md	Neurotensin	NP-NTS	 ,NTS	 
27	./Neuropeptides	NP-PDYN.md	Prodynorphin	NP-PDYN	 ,PDYN	 
28	./Neuropeptides	NP-NUCB1.md	Nucb1	NP-NUCB	 ,NUCB1	 
29	./Neuropeptides	NP-LEP.md	Leptin	NP-LEP	 ,LEP	 
30	./Neuropeptides	NP-RLN1.md	Relaxin 1	NP-RLN	 ,RLN1	 
31	./Neuropeptides	NP-PPY.md	Pancreatic polypeptide	NP-PPY	 ,PPY	 
32	./Neuropeptides	NP-KISS1.md	Kiss-1 metastasis suppressor	NP-KISS	 ,KISS1	 
33	./Neuropeptides	NP-SCT.md	Secretin	NP-SCT	 ,SCT	 
34	./Neuropeptides	NP-GRP.md	Gastrin releasing peptide	NP-GRP	 ,GRP	 
35	./Neuropeptides	NP-CBLN1.md	Cerebellin 1	NP-CBLN	 ,CBLN1	 
36	./Neuropeptides	NP-CHGA.md	Chromogranin a	NP-CHGA	 ,CHGA	 
37	./Neuropeptides	NP-EDN1.md	Endothelin 1	NP-EDN	 ,EDN1	 
38	./Neuropeptides	NP-UCN2.md	Urocortin 2	NP-UCN	 ,UCN2	 
39	./Neuropeptides	NP-NPY.md	Neuropeptide y	NP-NPY	 ,NPY	 
40	./Neuropeptides	NP-CART.md	Cocaine- and amphetamine-regulated transcript	NP-CART	 ,CARTPT	 
41	./Neuropeptides	NP-UTS2.md	Urotensin 2	NP-UTS	 ,UTS2	 
42	./Neuropeptides	NP-GAL.md	Galanin and gmap prepropeptide	NP-GAL	 ,GAL	 
43	./Neuropeptides	NP-CBLN4.md	Cerebellin 4	NP-CBLN	 ,CBLN4	 
44	./Neuropeptides	NP-GAST.md	Gastrin	NP-GAST	 ,GAST	 
45	./Neuropeptides	NP-GNRH2.md	Gonadotropin releasing hormone 2	NP-GNRH	 ,GNRH2	 
46	./Neuropeptides	NP-IGF2.md	Insulin like growth factor 2	NP-IGF	 ,IGF2	 
47	./Neuropeptides	NP-ADIPOQ.md	Adipoq	NP-ADIPOQ	 ,ADIPOQ	 
48	./Neuropeptides	NP-SST.md	Somatostatin	NP-SST	 ,SST	 
49	./Neuropeptides	NP-NMB.md	Neuromedin b	NP-NMB	 ,NPB	 
50	./Neuropeptides	NP-UCN3.md	Urocortin 3	NP-UCN	 ,UCN3	 
51	./Neuropeptides	NP-ADM2.md	Adrenomedullin 2	NP-ADM	 ,ADM2	 
52	./Neuropeptides	NP-IAPP.md	Islet amyloid polypeptide	NP-IAPP	 ,IAPP	 
53	./Neuropeptides	NP-GNRH1.md	Gonadotropin releasing hormone 1	NP-GNRH	 ,GNRH1	 
54	./Neuropeptides	NP-IGF1.md	Insulin like growth factor 1	NP-IGF	 ,IGF1	 
55	./Neuropeptides	NP-CORT.md	Cortistatin	NP-CORT	 ,CORT	 
